# uid,len_var_oncampus,end_time_var_oncampus,num_days_activity_oncampus,daily_day_oncampus,extra
1.000,-0.289,-0.150,0.359,-0.883,1.000
2.000,-1.321,-0.607,0.847,-0.311,0.000
3.000,-0.989,-2.039,-0.739,-0.868,0.000
4.000,0.490,0.131,-0.129,-0.683,0.000
5.000,0.511,0.692,0.603,1.554,1.000
7.000,0.585,-0.048,-1.227,-0.636,1.000
8.000,-0.992,1.311,0.725,-0.344,0.000
9.000,-0.761,-0.682,0.847,-0.322,0.000
10.000,-0.517,-1.586,0.847,0.194,0.000
14.000,0.431,0.686,0.481,2.638,1.000
15.000,0.828,-0.201,-1.471,-0.666,1.000
16.000,-0.582,-1.159,0.603,-0.223,0.000
17.000,-0.509,-1.865,0.725,-0.452,0.000
18.000,0.379,-0.124,-0.007,-0.037,0.000
19.000,-0.897,0.919,0.847,-0.126,0.000
20.000,-0.416,0.522,-1.227,-0.690,1.000
22.000,-0.452,0.325,0.359,-0.866,1.000
23.000,-0.612,-1.563,-0.129,-0.736,1.000
24.000,1.169,0.398,-3.301,-0.627,1.000
27.000,-0.912,-1.138,0.847,-0.490,0.000
30.000,0.043,1.229,0.603,2.679,1.000
32.000,2.602,1.484,0.481,2.366,1.000
33.000,-0.483,1.098,-0.373,-0.824,1.000
35.000,-0.250,0.886,0.847,-0.632,0.000
43.000,-0.440,-0.087,-0.007,-0.663,0.000
46.000,3.548,0.895,-0.495,1.302,1.000
49.000,0.806,1.062,0.847,0.230,1.000
50.000,-0.936,-0.656,-2.081,0.893,1.000
52.000,-0.506,-0.799,0.725,-0.201,0.000
53.000,-1.001,-1.214,0.603,-0.394,0.000
54.000,0.332,0.476,-1.471,-0.556,1.000
57.000,-0.121,1.036,0.847,1.228,0.000
58.000,-0.765,-1.427,0.603,-0.876,0.000
59.000,0.533,1.394,0.847,-0.779,1.000
