uid,start_time_var_oncampus,day_entropy_oncampus_30days,questions_oncampus,fp_baker-berry;kemeny,fp_lsb;baker-berry;kemeny,consc
1,-0.433,-0.57,-0.56,-0.418,-0.347,4.444
2,-1.283,1.197,-0.74,-0.418,-0.347,4.222
3,-0.911,-1.796,1.96,-0.418,-0.347,3.889
4,-1.61,0.668,-0.56,-0.418,-0.347,2.667
5,-1.098,1.167,-0.74,-0.144,0.01,4.444
7,-0.678,-0.903,-0.56,-0.418,-0.347,3.778
8,-0.529,1.026,3.219,0.676,-0.347,4.222
9,-0.676,0.556,-0.02,-0.418,-0.347,2.667
10,-1.694,1.412,1.24,3.139,3.933,4.778
14,0.475,0.807,1.6,-0.418,-0.347,3.375
15,2.49,0.064,-0.56,-0.418,-0.347,3.111
16,-0.686,-0.107,-0.74,-0.418,-0.347,3.556
17,-1.059,0.501,1.24,-0.418,-0.347,3.333
18,0.761,0.251,-0.2,-0.418,-0.347,3.222
19,-0.56,-0.201,-0.02,-0.418,-0.347,3.444
20,1.038,-1.658,-0.74,-0.418,-0.347,3.333
22,0.238,0.07,-0.02,-0.418,-0.347,4.556
23,0.804,-1.363,-0.74,-0.418,-0.347,3
24,0.204,-1.26,-0.74,-0.418,-0.347,2.333
27,1.759,0.689,-0.56,-0.418,-0.347,2.667
30,-1.309,1.607,0.7,3.139,3.22,4.444
32,-0.023,0.573,-0.38,-0.418,-0.347,4.333
33,1.447,-1.815,-0.38,-0.418,-0.347,1.889
35,-0.662,-1.905,-0.74,-0.418,-0.347,3.556
43,1.257,0.385,1.6,-0.418,-0.347,4.222
46,0.133,1.266,0.52,0.676,0.367,3.556
49,-0.299,-0.224,-0.2,2.865,2.507,3.667
50,-0.669,-1.276,-0.74,-0.418,-0.347,3.556
52,-0.345,-1.226,-0.74,-0.418,-0.347,2.222
53,0.427,-0.029,-0.74,-0.418,-0.347,2.889
54,0.82,1.114,-0.56,-0.144,-0.347,3.111
57,-0.619,0.213,-0.2,-0.418,-0.347,3.222
58,1.138,-0.637,-0.74,-0.418,-0.347,3.556
59,-0.018,0.152,-0.38,-0.418,-0.347,2.556
