uid,len_var_oncampus,start_time_var_oncampus,end_time_var_oncampus,len_var_mon,len_var_tue,len_var_wed,len_var_thr,len_var_fri,start_time_var_mon,start_time_var_tue,start_time_var_wed,start_time_var_thr,start_time_var_fri,end_time_var_mon,end_time_var_tue,end_time_var_wed,end_time_var_thr,end_time_var_fri,num_days_activity_oncampus,stat_rate_oncampus,walk_rate_oncampus,run_rate_oncampus,nearby_entropy_30days_oncampus,nearby_total_30days_oncampus,nearby_num_unique_30days_oncampus,nearby_num_friends_30days_oncampus,day_entropy_oncampus_30days,evening_entropy_oncampus_30days,night_entropy_oncampus_30days,daily_day_oncampus,daily_evening_oncampus,daily_night_oncampus,early_oncampus,late_oncampus,absent_oncampus,late_time_var_oncampus,days_oncampus,views_oncampus,contributions_oncampus,questions_oncampus,notes_oncampus,answers_oncampus,extra
1,-0.289,-0.433,-0.15,-0.459,0.1,-0.517,-0.601,0.828,-0.657,-0.321,-0.173,-0.272,-0.718,0.081,-0.398,-0.474,-0.396,1.454,0.359,-0.104,0.121,1.403,-1.139,-1.155,-1.111,1.162,-0.57,-1.593,-1.125,-0.883,-0.475,-0.67,-0.825,-0.103,1.11,-0.738,-1.063,0.928,-0.602,-0.56,0.6,-0.622,3.125
2,-1.321,-1.283,-0.607,-1.089,-0.272,-1.319,-1.364,-0.134,-1.129,-0.733,-0.869,-0.802,0.317,-0.444,-0.683,-1.322,0.411,0.372,0.847,-0.194,0.769,-0.953,0.782,0.102,0.749,-0.509,1.197,0.418,-0.675,-0.311,-0.067,-0.422,-0.478,0.443,0.172,-0.737,0.543,0.928,-1.049,-0.74,-0.48,-0.622,2.125
3,-0.989,-0.911,-2.039,-1.071,-0.949,-1.094,-1.027,-0.949,-0.431,-0.304,-1.026,-0.921,-0.227,-1.496,-1.814,-1.37,-1.023,-1.456,-0.739,1.772,-1.683,-0.984,-1.903,-1.415,-1.705,0.048,-1.796,-2.187,-1.705,-0.868,-0.858,-0.694,0.293,-1.634,1.169,-0.476,-0.03,0.375,1.636,1.96,1.679,2.12,2.125
4,0.49,-1.61,0.131,-0.574,0.056,1.075,3.046,2.373,-1.153,-0.826,-0.929,-0.893,-0.885,1.505,0.665,-1.361,0.31,-0.45,-0.129,-2.01,1.627,3.041,0.512,-0.247,1.411,0.048,0.668,0.625,0.231,-0.683,-0.673,-0.694,0.439,-0.103,-0.442,-0.736,-1.177,-2.027,-0.96,-0.56,-0.48,-0.622,2.375
5,0.511,-1.098,0.692,-0.306,0.015,-0.192,0.078,0.112,-1.011,-0.745,-0.935,-0.555,0.812,1.09,0.63,1.623,-0.084,-0.042,0.603,0.26,-0.422,-0.747,0.915,0.323,0.778,-0.509,1.167,0.593,-0.915,1.554,2.368,0.835,1.12,-1.22,-0.233,-0.677,1.117,0.957,-0.96,-0.74,-0.48,-0.622,3.125
7,0.585,-0.678,-0.048,0.312,0.149,0.005,1.219,-0.066,-0.329,-0.369,-0.775,-0.924,-0.362,-0.502,-0.523,0.165,-1.169,-1.033,-1.227,-0.01,-0.243,0.534,-1.423,0.952,-0.274,1.719,-0.903,-1.008,-0.477,-0.636,-0.583,-0.318,1.209,-1.321,-0.247,0.03,-0.26,-0.535,0.025,-0.56,-0.48,-0.622,3.125
8,-0.992,-0.529,1.311,-0.219,-0.782,0.049,-0.994,0.027,0.417,-0.452,-0.617,-0.596,-0.704,0.986,0.794,1.499,0.689,1.131,0.725,-0.072,0.313,0.76,0.985,0.461,0.885,-0.509,1.026,1.07,1.191,-0.344,0.102,-0.466,0.015,0.593,-0.573,1.246,1.117,1.062,2.979,3.219,-0.48,1.663,2.625
9,-0.761,-0.676,-0.682,-0.071,0.182,-0.741,0.502,-0.571,2.364,-0.711,-0.952,-0.735,-1.052,-0.562,-0.722,0.4,-0.943,0.041,0.847,-0.367,0.585,-0.135,0.422,-0.335,0.314,-0.509,0.556,0.266,-0.655,-0.322,-0.354,-0.523,-0.436,2.193,-1.517,-0.739,-0.661,-0.982,0.741,-0.02,2.759,1.206,2.375
10,-0.517,-1.694,-1.586,-0.644,-0.552,0.169,-1.223,-0.274,-1.172,-0.858,-1.013,-0.844,-1.11,-0.628,-0.926,-1.303,-1.083,-1.343,0.847,0.751,-0.658,-0.064,1.242,2.113,1.756,-1.067,1.412,0.361,0.307,0.194,-0.699,-0.823,2.004,-0.973,-1.549,-0.124,1.977,0.942,1.278,1.24,-0.48,0.749,2
14,0.431,0.475,0.686,2.138,1.831,0.478,2.348,2.139,1.691,-0.418,-0.975,2.936,0.009,0.399,1.146,1.111,1.048,-0.458,0.481,-0.974,2.269,-0.212,0.905,1.39,0.936,-1.067,0.807,0.631,2.2,2.638,-0.364,-0.405,1.606,-1.252,-0.8,0.055,-0.718,0.331,0.383,1.6,0.6,-0.622,3.25
