# uid,nearby_total_30days_oncampus,nearby_timestamp_oncampus,start_time_var_mon,end_time_var_wed,agrbl
1.000,-1.155,-0.824,-0.657,-0.474,1.000
2.000,0.102,-0.227,-1.129,-1.322,0.000
3.000,-1.415,-1.194,-0.431,-1.370,0.000
4.000,-0.247,-0.794,-1.153,-1.361,0.000
5.000,0.323,1.459,-1.011,1.623,1.000
7.000,0.952,-0.714,-0.329,0.165,1.000
8.000,0.461,0.034,0.417,1.499,1.000
9.000,-0.335,-0.289,2.364,0.400,1.000
10.000,2.113,1.079,-1.172,-1.303,0.000
14.000,1.390,1.960,1.691,1.111,0.000
15.000,-0.396,-0.315,0.967,0.162,0.000
16.000,-0.438,0.371,-0.972,0.732,0.000
17.000,0.113,-0.664,-1.039,-1.242,1.000
18.000,-0.230,2.189,1.182,0.002,0.000
19.000,0.148,0.747,-0.989,0.536,0.000
20.000,-0.453,-0.815,2.024,0.783,1.000
22.000,-1.012,-1.016,1.220,-0.062,0.000
23.000,-0.408,-0.775,-0.374,-0.731,0.000
24.000,1.483,-0.558,-0.640,0.282,0.000
27.000,-0.682,0.014,-0.985,-1.129,1.000
30.000,0.703,0.092,-1.153,0.761,1.000
32.000,-0.149,-0.566,-0.173,0.917,1.000
33.000,-0.299,-1.090,-0.528,-0.037,0.000
35.000,0.028,-0.739,0.972,1.423,1.000
43.000,-0.325,-0.114,0.426,-0.216,1.000
46.000,1.434,-0.529,-0.368,-1.343,0.000
49.000,-1.812,-0.101,-0.461,0.537,1.000
50.000,2.515,1.865,-0.437,0.596,0.000
52.000,-1.166,-0.740,0.271,-1.242,0.000
53.000,0.593,-0.480,-0.319,-1.008,1.000
54.000,1.586,-0.069,0.751,0.540,0.000
57.000,-0.294,0.764,1.923,1.301,1.000
58.000,-1.650,-0.408,0.815,-1.362,1.000
59.000,-0.322,-0.982,-0.807,1.891,1.000
